Title,Power,Type,Time,LocationLat,LocationLon
Blue Sky solar farm,300,Solar,2024,41.132,-88.36
Fox Trail solar farm,74,Solar,2025,27.8461,-80.674
Oro y Cielo Solar Plant,"96,2",Solar,2024,-33.086,-70.8862
Jamaica Public Service Solar Plant,25,Solar,2024,18.1851,-77.3948
Changos Solar Plant,232,Solar,2025,-23.1014,-70.4687
Wolfskin Solar,38,Solar,2024,33.8815,-83.2467
Dourado PV Solar Complex,40,Solar,2024,-8.7565,-38.3135
Hyco Solar,80,Solar,2026,36.4846,-79.1331
Mammoth Solar,300,Solar,2024,41.0953,-86.6916
Presidente JK solar farm,30,Solar,2024,-18.7201,-44.0601
Porto do Açu solar farm,800,Solar,2026,-21.8384,-41.0412
Prairie Ronde Solar,145,Solar,2024,30.61,-92.17
Paris solar farm (United States),200,Solar,2024,42.6621,-88.0155
Tehuacana Creek Solar,700,Solar,2024,31.9141,-96.4135
Monte Verde Solar Project,49,Solar,2024,-5.4185,-36.2311
Goonies Solar Project,194,Solar,2025,41.1979,-77.2188
High River Energy solar farm,90,Solar,2024,42.9019,-74.1327
Tacna (Univergy) Solar PV Plant,700,Solar,2024,-18.0193,-70.2476
Vacherie Solar Energy Center,150,Solar,2024,29.978,-90.7277
Sol Del Loa Solar Plant Optimization Project,448,Solar,2025,-22.3445,-69.6616
Stern Solar,20,Solar,2026,42.9129,-73.6004
Cuestecitas Solar Park,200,Solar,2024,11.4354,-72.9002
Bochica Solar Plant,20,Solar,2025,4.0999,-72.9088
Starr Solar Ranch,136,Solar,2024,26.5234,-99.0171
Ghungnam Solar Project,709,Solar,2025,-31.7613,-71.3188
North Orange solar farm,74,Solar,2026,27.5142,-80.5707
Centrale Électrique De L'Ouest Guyanais (Ceog) solar farm,55,Solar,2024,5.4996,-53.7389
Millington solar farm,74,Solar,2024,35.3515,-89.8547
Chill Sun Solar Project,2250,Solar,2027,37.1375,-116.8533
Tikuna solar farm,"59,5",Solar,2024,8.4788,-75.8951
Owens Creek Solar,500,Solar,2028,42.0601,-88.81
Tikuna solar farm,119,Solar,2025,8.4788,-75.8951
Westland solar farm,250,Solar,2024,36.1225,-119.9232
Uriana PV Solar Project,400,Solar,2024,4.0999,-72.9088
Sunbury Solar,20,Solar,2024,40.862,-76.7936
El Rocio solar farm,110,Solar,2026,4.0999,-72.9088
Nolin Hills solar farm,300,Solar,2026,45.5546,-119.1143
Mason County solar farm,250,Solar,2024,38.6194,-83.8897
Wildcat Solar Power Plant,90,Solar,2024,35.5805,-108.9023
Granite Hill Solar,70,Solar,2024,39.8915,-77.1628
Andino Occidente Solar Project,"150,3",Solar,2026,-34.267,-70.7936
Peeler Solar,200,Solar,2024,28.7017,-98.4434
Don Humberto Solar Park,79,Solar,2024,-33.4361,-70.6096
Wilmington (Illinois) Solar,20,Solar,2024,41.3282,-88.1515
Terra Energia Renewables Solar Park,513,Solar,2025,-25.3953,-69.8573
Windica solar farm,"25,2",Solar,2025,-14.1832,-75.7128
Horseshoe Bend Solar Project,60,Solar,2024,37.2644,-85.5717
Vista Alegre solar farm (Brazil),41,Solar,2025,-15.8254,-43.4471
Hart Solar,125,Solar,2025,43.5278,-86.1195
Ubaté Solar Generation Park,28,Solar,2024,5.3372,-74.4893
Pradera solar farm,40,Solar,2024,7.6393,-73.3279
Hog Bay solar farm,74,Solar,2025,27.0782,-81.8321
Gallivant Ferry Solar,46,Solar,2024,33.7452,-78.8321
Sierras de Ullum Photovoltaic Solar Park,80,Solar,2024,-31.3667,-68.6728
Inti Pacha Solar Complex,308,Solar,2024,-22.3445,-69.6616
Yaupon Solar Project,200,Solar,2025,31.0444,-96.8514
Gabriela Photovoltaic Solar Park,264,Solar,2024,-31.7613,-71.3188
Presidente JK solar farm,30,Solar,2024,-18.7101,-44.0501
Bom Lugar Solar Park,36,Solar,2024,-6.3679,-38.9636
Moraine solar farm,94,Solar,2025,42.4298,-77.725
Graviola Solar Plant,75,Solar,2025,-8.2636,-42.3566
Santa Teresa Solar,100,Solar,2024,31.8693,-106.678
Illa solar farm,385,Solar,2024,-16.721,-71.8928
Marangatu PV Solar Complex,30,Solar,2024,-4.0995,-41.4833
Boa Sorte Solar Plant,44,Solar,2025,-17.2001,-46.6301
Garcitas Creek Solar,202,Solar,2025,28.8114,-96.648
Sky High Solar,20,Solar,2024,42.8389,-76.0902
Kingwood Solar,175,Solar,2024,39.782,-83.83
Boa Sorte Solar Plant,44,Solar,2025,-17.2011,-46.6246
Jayhawk solar farm,101,Solar,2025,32.2907,-100.8657
Esmeralda (NextEra) Solar Energy Center Project,500,Solar,2025,37.8067,-117.642
Shepherd's Run Solar,60,Solar,2025,42.1614,-73.5745
Three W Solar,110,Solar,2025,32.0309,-97.1666
Wild Quail solar farm,74,Solar,2024,30.8981,-86.2501
Pawnee Solar Project,500,Solar,2027,40.184,-103.639
Boa Sorte Solar Plant,44,Solar,2025,-17.1901,-46.6301
Platteview Solar,81,Solar,2024,41.191,-96.3794
Efigen C03 solar farm,99,Solar,2025,9.1447,-75.5109
Kensington Solar Project,145,Solar,2024,39.946,-82.8934
OCI SunRay solar farm,200,Solar,2024,29.2918,-99.6124
Presidente JK solar farm,30,Solar,2024,-18.6901,-44.0701
Desert Quartzite solar farm,300,Solar,2024,33.565,-114.753
El Guincho solar farm,86,Solar,2025,18.5214,-69.6888
Renewstable Barbados solar farm,50,Solar,2025,13.1355,-59.4516
Helios Cabrera solar farm,100,Solar,2026,3.985,-74.4844
Clear View (New York) Solar,20,Solar,2025,42.5706,-77.4638
Dolet Hills Solar,240,Solar,2025,32.0412,-93.5712
Don Sebastian Solar Park,47,Solar,2024,-32.4598,-71.2544
Scottford Solar Power Project,58,Solar,2024,53.8045,-113.0886
Cane Creek Solar,79,Solar,2024,31.977,-88.8876
Boulder Solar,128,Solar,2025,35.8388,-114.9642
Sarimento solar farm,35,Solar,2024,-31.9801,-68.495
Eland Solar & Storage Center,200,Solar,2024,35.2167,-117.977
Cattleya Del Huila Solar Project,100,Solar,2026,3.4257,-74.7008
Sol de Verano 2 solar farm,"92,8",Solar,2025,-15.8414,-70.0375
Escalante (Tri-State Generation) solar farm,200,Solar,2024,35.3803,-108.537
Steward Creek Solar,600,Solar,2027,41.8143,-88.9899
Mohawk Solar,90,Solar,2024,42.8871,-74.6378
Green Pasture solar farm,74,Solar,2025,27.0231,-81.7771
Eldora solar farm,200,Solar,2025,28.866,-96.1217
Bear Point Solar,74,Solar,2026,35.2637,-77.799
Ticul Solar Park,104,Solar,2025,20.3644,-89.5543
INEOS Hickerson solar farm,310,Solar,2025,31.9057,-97.6411
Grassy Knoll Solar Project,20,Solar,2024,43.0654,-74.8437
Sacramento Valley Energy Center solar farm,200,Solar,2024,38.5715,-121.1845
Dulles solar farm,100,Solar,2026,38.9501,-77.5
Texas Solar Nova,200,Solar,2024,33.3206,-100.9817
Coffeen solar farm,44,Solar,2025,37.6632,-88.9841
Ostera Solar,80,Solar,2024,46.5288,-119.9792
Wayland Solar,120,Solar,2026,42.5644,-77.6261
Atlas solar farm,300,Solar,2024,33.9434,-113.7917
Greenwood Solar,100,Solar,2024,38.4912,-77.9618
Pattersonville solar farm,20,Solar,2024,42.8808,-74.0951
Tangara solar farm,"99,9",Solar,2024,8.8781,-75.6225
Dourado PV Solar Complex,40,Solar,2024,-8.8696,-38.2395
Morovis Solar,51,Solar,2024,18.3081,-66.4093
Gualanday PV Solar Park,20,Solar,2024,4.0999,-72.9088
Atacama (Mytilineos) solar farm,165,Solar,2024,-27.171,-69.736
Raceway Solar,50,Solar,2025,38.9101,-75.5882
Plan Sonora 3 solar farm,1000,Solar,2025,31.0028,-112.6221
CPV Backbone Solar,175,Solar,2025,39.4287,-79.1925
Rocket Solar,80,Solar,2024,41.6363,-112.4441
Sculpin Solar,180,Solar,2025,41.3646,-84.8438
Bellefield Solar And Energy Storage Farm,500,Solar,2026,35.063,-118.0878
Russellville Solar,145,Solar,2024,36.8237,-86.8834
AES Maui Kuihelani Solar Hybrid,60,Solar,2024,20.8439,-156.485
Enterprise solar farm,80,Solar,2024,50.3777,-113.3491
Dogwood Creek Solar,435,Solar,2025,30.2238,-97.3826
Marangatu PV Solar Complex,30,Solar,2024,-4.1266,-41.4455
Mountain Holly Solar,20,Solar,2024,40.9875,-76.4892
Chame solar farm,20,Solar,2024,8.6187,-79.8318
Heritage Prairie Renewable solar farm,300,Solar,2024,41.1822,-88.1115
Big Fork Solar,75,Solar,2026,33.1353,-81.2391
Waco Solar,400,Solar,2024,31.7104,-96.8187
Twin solar farm,100,Solar,2024,4.441,-75.2514
Wimke PV Solar Park,100,Solar,2024,4.0999,-72.9088
Sloughhouse Solar,50,Solar,2024,38.4676,-121.1845
Jaisalmer Manufacturing (Adani Group) solar farm,250,Solar,2026,26.9104,70.9104
Chongqing Shizhu (China Nuclear) solar farm project,400,Solar,2025,30.001,108.1198
Jhansi solar park,600,Solar,2025,25.4377,78.5481
Gansu Jiayuguan 14th Five-Year Plan Second Group solar farms,100,Solar,2024,36.761,98.091
Mapanuepe Floating Solar Power Project,251,Solar,2024,14.9814,120.2904
Pavagada (IRCON) solar plant,500,Solar,2024,14.1056,77.2946
Apulid Solar Project,50,Solar,2025,16.4825,121.315
Pooneryn solar farm,100,Solar,2025,9.5043,80.2124
Guizhou Weining Bandi Shuangshishan Agriculture solar farm,110,Solar,2024,27.0349,104.0673
Aqaba Special Economic Zone solar farm,530,Solar,2028,29.5344,35.0078
Sapang Balen Solar 1 Power Project,96,Solar,2025,15.2254,120.5446
Tantangan (Apolaki) Solar Power Project,40,Solar,2026,7.4395,124.6325
Ayg-1 solar farm,200,Solar,2025,40.3836,43.8736
Opus Solar Power Project,151,Solar,2026,16.7636,121.2424
Ayun Pa solar farm,25,Solar,2025,13.8001,108.001
Qinghai Gonghe 1000 MW (China Power Construction) solar farm,100,Solar,2024,36.3797,100.0053
Guizhou Nayong Shuguang Agriculture solar farm,200,Solar,2024,27.2859,105.2866
Feni solar farm,100,Solar,2028,22.7901,91.3747
Xinjiang Mulei (Huadian) Integrated Wind/Solar/Storage complex,400,Solar,2024,43.832,90.2925
Feni solar farm,100,Solar,2028,23.2279,91.3118
Denizli solar farm,20,Solar,2025,37.7822,29.0914
Gadag Amazon Solar Wind Farm,200,Solar,2024,15.7373,75.9408
NKS One II Floating Solar Project,90,Solar,2026,13.782,122.9477
Ramadi solar farm,100,Solar,2024,33.4206,43.3078
Shafag Solar Plant,240,Solar,2026,39.3987,47.0245
Kutchh Manufacturing (Adani Group) solar farm,333,Solar,2024,23.8424,69.7344
