Title;Power;Type;Time;LocationLat;LocationLon
Baltica III Offshore wind farm;1045;Wind;2100;55,06;17,45
Hai Long Offshore wind farm;1044;Wind;2100;24,1759;119,509
Aurora solar farm;1042;Solar;2100;51,7810;-1,4036
Ishikari City Coastal offshore wind power project;1032;Wind;2100;43,595;141,2577
Central Bight Wind Energy Area;1028;Wind;2100;40,0236;-72,7885
Macintyre wind farm;1026;Wind;2100;-28,2163;152,0327
Calatagan Offshore Wind Power Project;1024;Wind;2100;13,9168;120,7231
Mundo Offshore Wind Power Complex;1008;Wind;2100;34,1116;127,5445
Seongnam Solar Project;1007;Solar;2100;-22,4559;-68,9275
Central Queensland Power Project wind farm;1000;Wind;2100;-27,4714;153,0294
Liverpool Range wind farm;1000;Wind;2100;-32,0064;149,9788
Mount James wind farm;1000;Wind;2100;-19,964;144,2033
Spinifex Offshore wind farm;1000;Wind;2100;-38,3713;141,6013
Western Australia Offshore wind farm;1000;Wind;2100;-32,5601;115,4301
Western Victoria Offshore wind farm;1000;Wind;2100;-38,6301;142,5101
Asa Branca Offshore wind farm;1000;Wind;2100;-2,985;-39,6479
Guangdong Jieyang Huilai 4 Offshore wind farm;1000;Wind;2100;20,5039;110,2344
Guangdong Jieyang Huilai 5 Offshore wind farm;1000;Wind;2100;20,5039;110,2344
Guangdong Shantou Zhongpeng Area 1 Offshore wind farm;1000;Wind;2100;23,2765;117,3051
Guangdong Shanwei Mingyang New Technology Demonstration wind farm;1000;Wind;2100;22,7565;115,3588
Guangdong Yangjiang Qingzhou V Offshore wind farm;1000;Wind;2100;20,8267;111,6015
Guangdong Yangjiang Qingzhou Vi Offshore wind farm;1000;Wind;2100;20,9912;111,4957
Guangdong Yangjiang Qingzhou Vii Offshore wind farm;1000;Wind;2100;20,8155;111,4957
Guangdong Yangjiang Sanshandao Offshore wind farm;1000;Wind;2100;21,1569;111,915
Hesselø Offshore wind farm;1000;Wind;2100;56,4176;11,9254
Elwind wind farm;1000;Wind;2100;57,97;23,98
Haademeest Wind Farme;1000;Wind;2100;58,2075;24,275
Saaremaa Island wind farm;1000;Wind;2100;58,135;21,669
Cotentin wind farm;1000;Wind;2100;50,0183;-1,2636
Clarus wind farm;1000;Wind;2100;52,71;-10,27
Greystones wind farm;1000;Wind;2100;53,26;-5,74
Inis Ealga wind farm;1000;Wind;2100;51,6;-7,58
North Celtic Sea wind farm;1000;Wind;2100;52;-7,21
Shelmalere wind farm;1000;Wind;2100;52,34;-6,07
Hokkaido Ishikari Bay Offshore wind farm;1000;Wind;2100;43,2622;141,2153
Ishikari Bay (JRE) Offshore wind farm;1000;Wind;2100;43,3585;141,2232
Ishikari Bay (OWF) offshore wind farm;1000;Wind;2100;43,5096;141,1559
Kyushu - Wpd Floating wind farm;1000;Wind;2100;32,5355;129,0911
Toki Floating wind farm;1000;Wind;2100;38,1604;139,1097
Mirnyy wind farm;1000;Wind;2100;44,6713;73,8598
Aegir (Oceanwind) wind farm;1000;Wind;2100;56,8296;5,721
Sorlige Nordsjoen wind farm;1000;Wind;2100;56,8296;5,721
Boryeong wind farm;1000;Wind;2100;36,1827;126,0909
Northland Power Dado Ocean projects Offshore wind farm;1000;Wind;2100;34,2134;127,3387
Parc Tramuntana wind farm;1000;Wind;2100;42,0381;3,2838
Västvind wind farm;1000;Wind;2100;57,7937;11,1675
Winds of September floating wind farm;1000;Wind;2100;24,8039;120,8826
Zhu Ting Offshore wind farm;1000;Wind;2100;24,9734;120,7393
Castle Wind Offshore Farm;1000;Wind;2100;35,5604;-121,43
Lava Ridge wind farm;1000;Wind;2100;42,7734;-114,118
Cồn Cỏ island Quảng Trị offshore wind farm;1000;Wind;2100;17,1434;107,4109
Gulf Tra Vinh offshore wind farm;1000;Wind;2100;9,5271;106,7146
Mỹ Cát offshore wind farm;1000;Wind;2100;14,1658;109,3559
Nhơn Lý offshore wind farm;1000;Wind;2100;13,8694;109,4281
Ree offshore wind farm;1000;Wind;2100;9,5794;106,7146
Sóc Trăng offshore wind farm;1000;Wind;2100;9,3398;106,3574
Trà Vinh offshore wind farm;1000;Wind;2100;9,4351;106,7141
Vĩnh Phong offshore wind farm;1000;Wind;2100;10,9861;108,4153
Solar 1000;1000;Solar;2100;31,2470;-0,6817
Ingenostrum (Ibicuitinga) Solar Complex;1000;Solar;2100;-4,9774;-38,6373
Ingenostrum (Quixada) Solar Complex;1000;Solar;2100;-4,9717;-39,0149
Leo Silveira solar farm;1000;Solar;2100;-17,2801;-45,1801
